comprehensive budget management,全面预算管理,ˌkɒmprɪˈhensɪv ˈbʌdʒɪt ˈmænɪdʒmənt
cost reduction pressure,降本压力,kɒst rɪˈdʌkʃn ˈpreʃər
DRG (Diagnosis Related Groups),按病种分组付费,daɪəɡˈnoʊsɪs rɪˈleɪtɪd ɡruːps
DIP (Diagnosis-Intervention Packet),按病种分值付费,daɪəɡˈnoʊsɪs ˌɪntərˈvenʃn ˈpækɪt
bundled payment,打包付费,ˈbʌndld ˈpeɪmənt
medical insurance reimbursement,医保支付,ˈmedɪkl ɪnˈʃʊərəns ˌriːɪmˈbɜːrsmənt
hospital cost-control pressure,医院控费压力,ˈhɒspɪtl kɒst kənˈtroʊl ˈpreʃər
cost-effectiveness,性价比,kɒst ɪˈfektɪvnəs
NHSA,国家医保局,ˈnæʃənl ˈhelθkeər sɪˈkjʊərɪti ədˌmɪnɪˈstreɪʃn
IPO review,上市审核,aɪpiːoʊ rɪˈvjuː
regulatory inquiry letter,问询函,ˌreɡjʊˈleɪtəri ˈɪŋkwəri ˈletər
financial compliance and standardization,财务规范化,faɪˈnænʃəl kəmˈplaɪəns
ChiNext,创业板,ˈtʃaɪnekst
STAR Market,科创板,stɑːr ˈmɑːrkɪt
CSRC (China Securities Regulatory Commission),中国证监会,ˌtʃaɪnə sɪˈkjʊərɪtɪz ˌreɡjʊˈleɪtəri kəˈmɪʃn
policy-driven market,政策市场,ˈpɒləsi ˈdrɪvən ˈmɑːrkɪt
investor relations,投资者关系,ɪnˈvestər rɪˈleɪʃnz
import substitution,国产替代,ˈɪmpɔːrt ˌsʌbstɪˈtuːʃn
the 15th Five-Year Plan,十五五规划,ðə fɪfˈtiːnθ faɪv jɪər plæn
high-tech enterprise,高新技术企业,haɪ tek ˈentəpraɪz
government subsidy,政府补贴,ˈɡʌvənmənt ˈsʌbsɪdi
R&D tax incentive,研发税收优惠,ɑːr ænd diː tæks ɪnˈsentɪv
low-altitude economy,低空经济,loʊ ˈæltɪtjuːd ɪˈkɒnəmi
aging population,人口老龄化,ˈeɪdʒɪŋ ˌpɒpjʊˈleɪʃn
expanded healthcare coverage,医保覆盖扩大,ɪkˈspændɪd ˈhelθkeər ˈkʌvərɪdʒ
private enterprise,民营企业,ˈpraɪvɪt ˈentəpraɪz
state-owned enterprise (SOE),国有企业,steɪt oʊnd ˈentəpraɪz
multinational corporation,跨国公司,ˌmʌltiˈnæʃənl ˌkɔːrpəˈreɪʃn
compete against SOEs,与国家队竞争,kəmˈpiːt əˈɡenst
pricing power,定价权,ˈpraɪsɪŋ paʊər
competitive landscape,竞争格局,kəmˈpetɪtɪv ˈlændskeɪp
technology barrier,技术壁垒,tekˈnɒlədʒi ˈbæriər
industry average,行业平均水平,ˈɪndəstri ˈævərɪdʒ
differentiated competition,差异化竞争,ˌdɪfəˈrenʃieɪtɪd ˌkɒmpɪˈtɪʃn
subsidy vs subsidiary,补贴 vs 子公司（完全不同！）,ˈsʌbsɪdi vs səbˈsɪdiəri
Ministry of Finance,财政部,ˈmɪnɪstri əv ˈfaɪnæns
macro policy,宏观政策,ˈmækroʊ ˈpɒləsi
medical-industrial collaboration,医工转化,ˈmedɪkl ɪnˈdʌstriəl kəˌlæbəˈreɪʃn
innovation incubation,创新孵化,ˌɪnəˈveɪʃn ˌɪŋkjʊˈbeɪʃn
investment in emerging healthcare companies,新兴医疗企业投资,ɪnˈvestmənt ɪn ɪˈmɜːrdʒɪŋ
get listed,在交易所挂牌,ɡet ˈlɪstɪd
the truth will come out,真相终将大白,ðə truːθ wɪl kʌm aʊt
bribe / take a bribe,受贿/行贿,braɪb
securities regulations,证券法规,sɪˈkjʊərɪtɪz ˌreɡjʊˈleɪʃnz
raise funds,募集资金,reɪz fʌndz
respond to inquiry,答复问询,rɪˈspɒnd tuː ˈɪŋkwəri
public company,上市公司,ˈpʌblɪk ˈkʌmpəni
shareholder,股东,ˈʃeəhoʊldər
CFO (Chief Financial Officer),财务总监,ˌtʃiːf faɪˈnænʃəl ˈɑːfɪsər
auditor,审计师,ˈɔːdɪtər
adjust to,适应（固定搭配）,əˈdʒʌst tuː
radical,激进的,ˈrædɪkl
